number,value,params_dino_pipeline_clustering_clusterer_method,params_dino_pipeline_clustering_feature_processing_normalizer_method,params_dino_pipeline_clustering_k_selection_method,params_extractors_dino_v2_layer_name,params_extractors_resnet_layer_name,params_heuristic_settings_filter_params_filter_min_area_perc,params_heuristic_settings_generator_params_points_per_side,params_heuristic_settings_generator_params_pred_iou_thresh,params_heuristic_settings_generator_params_stability_score_thresh,params_heuristic_settings_k_heuristic_formulas_semantic_scale_factor,params_heuristic_settings_k_heuristic_formulas_structural_multiplier,params_resnet_pipeline_clustering_clusterer_method,params_resnet_pipeline_clustering_feature_processing_normalizer_method,params_resnet_pipeline_clustering_k_selection_method,params_resnet_pipeline_image_preprocessing_use_gaussian_blur,params_run_dino_pipeline,params_run_resnet_pipeline,params_validator_settings_semantic_threshold,params_validator_settings_structural_threshold,params_validator_settings_weights_clip_confidence,params_validator_settings_weights_dino_iou,params_validator_settings_weights_resnet_iou,state,user_attrs_avg_dino_iou,user_attrs_avg_resnet_iou,user_attrs_best_clip_confidence_any,user_attrs_best_dino_iou,user_attrs_best_resnet_iou,user_attrs_error,user_attrs_k_semantic_used,user_attrs_k_structural_used,user_attrs_max_clip_confidence,user_attrs_num_correct_segments,user_attrs_num_sam_masks,user_attrs_value
299,0.0,graph,root-norm,heuristic,blocks.7,layer2,0.009444642063550565,16,0.9772350517705657,0.9799707170093153,0.5662348321272923,2.6069056538934614,graph,root-norm,silhouette,True,True,False,0.6696925867247252,0.5553142934506412,0.2594537903025227,0.02277027583343532,0.11031746716202395,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
0,0.0,graph,root-norm,heuristic,blocks.7,layer2,0.007479635821888216,32,0.9095942406984086,0.9761589439551783,0.639993133252933,2.857088681582452,graph,root-norm,silhouette,False,True,False,0.7268102315731026,0.4324760520419809,0.4554784091795011,0.7467548193573229,0.16344894117092312,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
1,0.0,graph,root-norm,heuristic,blocks.11,layer2,0.001606255908550219,32,0.8836072852082716,0.9087587782789901,1.059244897277555,1.915739334931755,graph,l2,silhouette,False,False,True,0.7258133893663171,0.4094692040571263,0.05163857725080723,0.9443455011055739,0.25221453944015293,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
2,0.0,kmeans,root-norm,heuristic,blocks.11,layer3,0.004483124755437676,32,0.8886872444060439,0.9448028133249274,1.0862617229244804,2.4663113369455854,graph,l2,silhouette,True,True,True,0.451748529902928,0.54525899319198,0.541463559374795,0.45490854332643205,0.6091565448935482,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
3,0.0,kmeans,l2,silhouette,blocks.11,layer3,0.00648331854704004,8,0.8929524650923535,0.9507543782525325,0.7352447281485106,2.458748458389856,graph,root-norm,silhouette,True,True,True,0.6917359209533978,0.5957070720954121,0.8261755640495874,0.23770771539664803,0.0058301163326651695,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
4,0.0,kmeans,l2,silhouette,blocks.11,layer3,0.00844770337422271,32,0.889815034452279,0.9110735603243123,1.1007427143731319,2.64872703729849,kmeans,l2,silhouette,True,True,False,0.4139392548799288,0.6788520051533067,0.6426182476874446,0.40765234937923855,0.2557316895393984,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
5,0.0,kmeans,l2,heuristic,blocks.11,layer2,0.008494401119591329,16,0.9766762639159425,0.9594585888336411,0.7754191214599853,2.1474344307061197,graph,l2,heuristic,False,True,False,0.5875597013977335,0.6462641062153148,0.370826598224988,0.7320667781047706,0.38781129280012605,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
6,0.0,kmeans,root-norm,heuristic,blocks.11,layer3,0.006722349714033621,16,0.9428300324875974,0.9209445705222299,0.6451738985544602,1.8372555573578748,graph,l2,silhouette,False,True,False,0.6651422632356181,0.6246305770954865,0.8901747578489849,0.142416153020555,0.44303841190739823,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
7,0.0,kmeans,l2,silhouette,blocks.7,layer2,0.0015727351351884078,8,0.8510483731501508,0.9150679510770027,0.5675821368408587,2.5750779090191727,graph,root-norm,heuristic,True,True,False,0.5587486459530541,0.6484862478270539,0.5386319093803869,0.7109872603553207,0.9396982709401219,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
8,0.0,graph,l2,silhouette,blocks.11,layer3,0.008128347092241354,8,0.9768289701829858,0.9611701211109126,0.7700483782460817,2.6366764201314465,kmeans,l2,silhouette,True,True,False,0.7224239018809249,0.5386447096142005,0.9670163161365339,0.3484134551176078,0.3435868612815306,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
9,0.0,kmeans,l2,silhouette,blocks.7,layer2,0.0022484507132966066,32,0.9709898986975595,0.9524592576757213,0.5544632407953127,2.9804876277065837,kmeans,root-norm,silhouette,False,False,False,0.5852899474156982,0.727976245876059,0.7810667553497166,0.7020838426378877,0.573514522409915,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
10,0.0,graph,root-norm,heuristic,blocks.7,layer1,0.009788864386522053,32,0.9249309036802035,0.9719700533842495,0.9051630965400277,1.5312255862957294,kmeans,root-norm,heuristic,False,False,True,0.639357060237546,0.4071492835310737,0.2385660829344993,0.9722942668489387,0.004536835246620463,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
283,0.0,kmeans,root-norm,heuristic,blocks.7,layer2,0.00510136356543542,32,0.9400680472723956,0.9100186182795076,1.0591439016054378,2.7337158615395856,kmeans,root-norm,silhouette,True,True,False,0.6956429320471941,0.4333293879782069,0.45300612669239115,0.8755538224613533,0.05190764709197532,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
282,0.0,graph,l2,heuristic,blocks.11,layer3,0.0068277445262985795,16,0.8569261985942345,0.9690575691990698,0.7485354330417545,2.496886063560498,graph,l2,silhouette,False,False,True,0.7349137259150025,0.6206956551059282,0.16200008919012684,0.9744135136465438,0.15338387804461628,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
