number,value,params_dino_pipeline.clustering.clusterer.method,params_dino_pipeline.clustering.clusterer.n_neighbors,params_dino_pipeline.clustering.feature_processing.normalizer.method,params_dino_pipeline.clustering.feature_processing.reducer.method,params_dino_pipeline.clustering.feature_processing.reducer.n_components,params_dino_pipeline.clustering.feature_processing.run_normalization,params_dino_pipeline.clustering.feature_processing.run_reduction,params_dino_pipeline.clustering.k_selection.method,params_extractors.clip.layer_name,params_extractors.clip.model_name,params_extractors.dino_v2.layer_name,params_extractors.dino_v2.model_name,params_extractors.resnet.layer_name,params_extractors.resnet.model_name,params_fusion_pipeline.clustering.k_selection.k_source,params_heuristic_settings.filter_params.filter_min_area_perc,params_heuristic_settings.filter_params.nms_iou_threshold,params_heuristic_settings.filter_params.use_nms,params_heuristic_settings.generator_params.min_mask_region_area,params_heuristic_settings.generator_params.points_per_side,params_heuristic_settings.generator_params.pred_iou_thresh,params_heuristic_settings.generator_params.stability_score_thresh,params_heuristic_settings.k_heuristic_formulas.max_k,params_heuristic_settings.k_heuristic_formulas.semantic_base,params_heuristic_settings.k_heuristic_formulas.semantic_scale_factor,params_heuristic_settings.k_heuristic_formulas.structural_multiplier,params_heuristic_settings.sam_model,params_labeler.aggregation_method,params_labeler.aggregation_top_k_perc,params_labeler.top_n_labels,params_resnet_pipeline.clustering.clusterer.method,params_resnet_pipeline.clustering.clusterer.n_neighbors,params_resnet_pipeline.clustering.feature_processing.normalizer.method,params_resnet_pipeline.clustering.feature_processing.reducer.method,params_resnet_pipeline.clustering.feature_processing.reducer.n_components,params_resnet_pipeline.clustering.feature_processing.run_normalization,params_resnet_pipeline.clustering.feature_processing.run_reduction,params_resnet_pipeline.clustering.k_selection.method,params_resnet_pipeline.image_preprocessing.blur_kernel_size,params_resnet_pipeline.image_preprocessing.clahe_clip_limit,params_resnet_pipeline.image_preprocessing.sobel_kernel_size,params_resnet_pipeline.image_preprocessing.use_clahe,params_resnet_pipeline.image_preprocessing.use_gaussian_blur,params_resnet_pipeline.image_preprocessing.use_grayscale,params_resnet_pipeline.image_preprocessing.use_sobel_edges,params_run_dino_pipeline,params_run_fusion_pipeline,params_run_resnet_pipeline,params_validator_settings.final_threshold,params_validator_settings.semantic_threshold,params_validator_settings.structural_threshold,params_validator_settings.weights.clip_confidence,params_validator_settings.weights.dino_iou,params_validator_settings.weights.resnet_iou,state,user_attrs_error,user_attrs_max_clip_confidence,user_attrs_num_correct_segments
0,0.0,graph,39,z-score,pca,47,True,True,silhouette,transformer.resblocks.9,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.00965189251227782,0.7211948882504458,True,50,32,0.9705422851454376,0.9534677567084567,30,4,1.1931597740402946,1.6604266426424605,facebook/sam2-hiera-large,median,0.16885486245619796,5,kmeans,13,z-score,umap,56,False,False,heuristic,3.0,1.2722233970940726,3,True,True,False,True,False,True,False,0.6917303136995774,0.6446750073042813,0.6345017760042417,0.6733893744757191,0.3243564738461203,0.3478129985041102,COMPLETE,,0.0,0.0
1,0.0,graph,34,z-score,pca,51,False,True,heuristic,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,conv1,resnet50,semantic,0.006739630994440293,0.8091840597995809,False,50,8,0.9152461461464191,0.9181090445044043,25,4,0.6704428913000139,2.668442729765109,facebook/sam2-hiera-large,top_k_mean,0.41389772644108336,5,graph,22,root-norm,pca,32,True,False,heuristic,3.0,3.591083017938024,3,True,True,True,True,True,False,False,0.6448861245070403,0.5358904994640266,0.45479241085808164,0.04297325707492161,0.9728233584240725,0.699223275612706,COMPLETE,,0.0,0.0
2,0.0,kmeans,38,z-score,svd,24,True,False,heuristic,transformer.resblocks.11,ViT-B/32,blocks.4,dinov2_vitb14,layer4,resnet50,structural,0.008901755999962967,0.6075700122605339,True,100,32,0.8436807727348774,0.9110317639071865,21,2,0.6730797492077601,2.2035019822235444,facebook/sam2-hiera-large,top_k_mean,0.2843190361622513,3,graph,32,l2,svd,55,True,False,silhouette,,1.3527676834738052,3,True,False,False,True,True,False,False,0.6994712514931745,0.4097322917316679,0.7351761719948096,0.2601133879436507,0.16911475095356765,0.051550481653297786,COMPLETE,,0.0,0.0
3,0.0,kmeans,22,root-norm,pca,44,True,True,silhouette,transformer.resblocks.9,ViT-B/32,blocks.4,dinov2_vitb14,layer2,resnet50,structural,0.005937725282699833,0.6850004546508357,True,100,32,0.8184436659383639,0.9763771371360126,16,4,0.7309146804215205,2.0168768331292286,facebook/sam2-hiera-large,top_k_mean,0.22489536886273576,3,kmeans,38,l2,umap,20,True,True,heuristic,7.0,4.440722568935243,5,False,True,False,True,False,True,True,0.5592425742013988,0.5650149045693057,0.46520587560551074,0.08622148807074059,0.9671843961073421,0.4893632597513027,COMPLETE,,0.0,0.0
4,0.0,spectral,12,l2,svd,22,False,False,heuristic,transformer.resblocks.10,ViT-B/32,blocks.7,dinov2_vitb14,layer1,resnet50,structural,0.004981591713746385,0.6943019171697421,True,50,8,0.9798309872185578,0.9621873171234773,22,4,0.9818189907299686,1.819019831470662,facebook/sam2-hiera-large,median,0.4859453918919726,5,graph,12,z-score,svd,50,True,True,silhouette,5.0,3.149534574938362,3,False,True,False,True,False,True,False,0.7938762308372775,0.546297626626087,0.43786462312038127,0.4654416638583653,0.5861769125391744,0.9746517439834685,COMPLETE,,0.0,0.0
5,0.0,kmeans,25,root-norm,svd,34,False,False,silhouette,transformer.resblocks.9,ViT-B/32,blocks.7,dinov2_vitb14,conv1,resnet50,structural,0.008379604922525586,0.6091285537997329,True,50,8,0.9221405373313436,0.9648561406665281,15,3,0.980533161400563,2.7484724721903184,facebook/sam2-hiera-large,mean,0.18978653178234445,3,graph,33,root-norm,umap,46,False,True,silhouette,,4.037006496567765,5,True,False,True,False,False,True,False,0.6374942003482519,0.6330639355686438,0.5865400454441813,0.42136363894450635,0.8841864575465516,0.891016638860494,COMPLETE,,0.0,0.0
6,0.0,graph,36,l2,pca,34,False,False,silhouette,transformer.resblocks.10,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.0024696097376258022,0.6953700823261225,False,50,8,0.9098008391013002,0.9008429020115575,27,4,1.1531392108301464,1.668395863498054,facebook/sam2-hiera-large,mean,0.38645697259601786,3,graph,24,l2,svd,18,True,True,heuristic,3.0,2.4515581868525453,5,False,True,True,True,False,True,True,0.5688016818887354,0.6226071926856629,0.7238370441701096,0.5288939994809797,0.2661146527724527,0.7609651411501033,COMPLETE,,0.0,0.0
7,0.0,graph,12,l2,svd,22,True,False,heuristic,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,layer2,resnet50,semantic,0.009503483320383931,0.8058193707838006,False,50,16,0.9309059272520924,0.9788485715896639,21,2,0.5570034914326352,1.539033030164684,facebook/sam2-hiera-large,median,0.4256345786982494,3,spectral,17,root-norm,umap,54,False,False,silhouette,5.0,3.8688977659638595,5,True,True,False,False,True,False,True,0.6912872594169333,0.42658888171075426,0.40928380036368717,0.22379723179865463,0.5074406494538217,0.9744916783322075,COMPLETE,,0.0,0.0
8,0.0,graph,40,z-score,umap,22,True,True,heuristic,transformer.resblocks.11,ViT-B/32,blocks.4,dinov2_vitb14,layer2,resnet50,semantic,0.0014512706661728607,0.7356631160408866,False,50,8,0.9334875416942826,0.9446744246903269,24,2,0.9174867494429539,2.657661985360653,facebook/sam2-hiera-large,top_k_mean,0.17082307843169947,3,kmeans,37,root-norm,svd,35,False,True,silhouette,,3.9974746636753857,3,True,False,False,True,True,False,True,0.548527729615938,0.5822147294460213,0.5466759678563194,0.9109116382094411,0.12335388039911022,0.36727900132011837,COMPLETE,,0.0,0.0
9,0.0,graph,22,z-score,svd,40,False,False,heuristic,transformer.resblocks.11,ViT-B/32,blocks.11,dinov2_vitb14,layer1,resnet50,semantic,0.009167358417751882,0.6527458793717149,True,50,8,0.9067042173144138,0.9153865967123719,26,2,1.019315112381399,2.2046581010593496,facebook/sam2-hiera-large,mean,0.2676528677521788,5,graph,22,z-score,pca,26,False,True,heuristic,7.0,1.5594275559682105,3,False,True,False,True,False,False,True,0.6798367040893499,0.633923945679108,0.5941758275360598,0.10184901514033406,0.6686489187768002,0.9718651320242027,COMPLETE,,0.0,0.0
10,0.0,spectral,29,z-score,umap,62,True,True,silhouette,transformer.resblocks.9,ViT-B/32,blocks.4,dinov2_vitb14,layer3,resnet50,semantic,0.003804842424887242,0.7577481302513704,True,200,32,0.972763132341145,0.9379758162879,30,3,1.1797114972901073,1.8826240795943463,facebook/sam2-hiera-large,median,0.11747712836454388,5,kmeans,10,z-score,umap,62,False,False,heuristic,,2.281451044762314,3,True,False,True,False,False,True,False,0.768362721030083,0.7438037484236375,0.6770767774490759,0.8320150078204218,0.3300148667002221,0.12751633874535426,COMPLETE,,0.0,0.0
