number,value,params_dino_pipeline_clustering_clusterer_method,params_dino_pipeline_clustering_feature_processing_normalizer_method,params_dino_pipeline_clustering_k_selection_method,params_extractors_dino_v2_layer_name,params_extractors_resnet_layer_name,params_heuristic_settings_filter_params_filter_min_area_perc,params_heuristic_settings_generator_params_points_per_side,params_heuristic_settings_generator_params_pred_iou_thresh,params_heuristic_settings_generator_params_stability_score_thresh,params_heuristic_settings_k_heuristic_formulas_semantic_scale_factor,params_heuristic_settings_k_heuristic_formulas_structural_multiplier,params_resnet_pipeline_clustering_k_selection_method,params_resnet_pipeline_image_preprocessing_use_gaussian_blur,params_run_dino_pipeline,params_run_resnet_pipeline,params_validator_settings_semantic_threshold,params_validator_settings_structural_threshold,params_validator_settings_weights_clip_confidence,params_validator_settings_weights_dino_iou,params_validator_settings_weights_resnet_iou,state,user_attrs_avg_dino_iou,user_attrs_avg_resnet_iou,user_attrs_best_clip_confidence_any,user_attrs_best_dino_iou,user_attrs_best_resnet_iou,user_attrs_error,user_attrs_k_semantic_used,user_attrs_k_structural_used,user_attrs_max_clip_confidence,user_attrs_num_correct_segments,user_attrs_num_sam_masks,user_attrs_value
0,0.0,graph,l2,silhouette,blocks.7,layer1,0.003843030220852241,16,0.8724800840741647,0.9093262304487523,0.9076330916698971,1.562240118716436,heuristic,True,True,False,0.5335487800387375,0.6160673463911089,0.8983032221550488,0.1645632736472329,0.26761763485628687,COMPLETE,0.3968963652112162,0.0,0.0,0.7040756487318575,0.0,,3,2,0.0,0,2,0.0
1,0.0,graph,l2,heuristic,blocks.7,layer3,0.008879960414109128,16,0.9459071709521418,0.9427825452925597,1.0225034305374368,1.8594646022572705,silhouette,False,True,False,0.7230834056441241,0.4408866702461369,0.07171851154871134,0.34898473186333523,0.6884460279702622,COMPLETE,0.34074454307932334,0.0,0.0,0.530314981332492,0.0,,3,2,0.0,0,2,0.0
2,0.0,graph,l2,heuristic,blocks.7,layer2,0.0036322623161083897,16,0.9501832589530577,0.9732602927394187,0.7275919304268457,1.7332476700774104,heuristic,True,False,True,0.4179496377549422,0.6935947316467379,0.6374625299735748,0.03548678648990311,0.023162525817159052,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
3,0.0,graph,l2,heuristic,blocks.11,layer1,0.0015593540153403906,32,0.8574123084682871,0.9067832180673899,1.0577315545263688,2.085033111136574,silhouette,False,False,True,0.5590172220725859,0.5081478490995026,0.8279717868566403,0.07993303539535657,0.1287885348186305,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
4,0.0,graph,root-norm,silhouette,blocks.7,layer3,0.008537815507131372,32,0.9703991043843855,0.9065407649836328,1.1574010766515608,1.95937386956048,silhouette,False,True,True,0.4651730330033731,0.41836173565205986,0.6514987407484433,0.3350901011805494,0.1036129225854382,COMPLETE,0.38127619786590755,0.4763218569145985,0.0,0.6751209500073303,0.8467036678655542,,3,2,0.0,0,2,0.0
5,0.0,graph,l2,heuristic,blocks.7,layer3,0.0032554146954627233,32,0.9203259368544814,0.9650071078161259,0.9116233288139028,1.5920962197034627,heuristic,False,False,True,0.4411679425714722,0.4294955906987059,0.22138773640462872,0.775505384455163,0.565406887778483,COMPLETE,0.0,0.1909017556588136,0.0,0.0,0.30664233115379325,,3,2,0.0,0,2,0.0
6,0.0,kmeans,l2,heuristic,blocks.7,layer3,0.005256237411196411,8,0.970141431750873,0.9379438158511761,0.615087630457027,1.6984169941927076,heuristic,False,False,True,0.660261223790674,0.5149122201366174,0.4645768427482193,0.4842324959352655,0.8403087923383364,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
7,0.0,kmeans,root-norm,silhouette,blocks.11,layer3,0.0016949957659386143,16,0.9613863265144548,0.9110275330641769,1.054155567653043,1.567271385282368,silhouette,True,False,False,0.427551684871513,0.4207123915868618,0.15060976164707218,0.609317686887539,0.5084827513687007,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
8,0.0,graph,root-norm,silhouette,blocks.7,layer1,0.009297859760165984,16,0.9761708408087902,0.9514336942732156,0.8700768613894447,2.059020212030636,silhouette,True,False,True,0.7113302379262302,0.5571249660630102,0.5227214705222121,0.021548251743716884,0.9278890361631872,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
9,0.0,graph,l2,silhouette,blocks.11,layer2,0.004463885570323411,16,0.9690377375091276,0.9056493297585366,0.5515887708372205,1.7242216015774652,heuristic,False,False,True,0.6236367453180676,0.5890577046849098,0.5082604253834406,0.468243558082478,0.9210888938263297,COMPLETE,0.0,0.4763218569145985,0.0,0.0,0.8467036678655542,,3,2,0.0,0,2,0.0
