number,value,params_dino_pipeline_clustering_clusterer_method,params_dino_pipeline_clustering_feature_processing_normalizer_method,params_dino_pipeline_clustering_k_selection_method,params_extractors_dino_v2_layer_name,params_extractors_resnet_layer_name,params_heuristic_settings_filter_params_filter_min_area_perc,params_heuristic_settings_generator_params_points_per_side,params_heuristic_settings_generator_params_pred_iou_thresh,params_heuristic_settings_generator_params_stability_score_thresh,params_heuristic_settings_k_heuristic_formulas_semantic_scale_factor,params_heuristic_settings_k_heuristic_formulas_structural_multiplier,params_resnet_pipeline_clustering_clusterer_method,params_resnet_pipeline_clustering_feature_processing_normalizer_method,params_resnet_pipeline_clustering_k_selection_method,params_resnet_pipeline_image_preprocessing_use_gaussian_blur,params_run_dino_pipeline,params_run_resnet_pipeline,params_validator_settings_semantic_threshold,params_validator_settings_structural_threshold,params_validator_settings_weights_clip_confidence,params_validator_settings_weights_dino_iou,params_validator_settings_weights_resnet_iou,state,user_attrs_avg_dino_iou,user_attrs_avg_resnet_iou,user_attrs_best_clip_confidence_any,user_attrs_best_dino_iou,user_attrs_best_resnet_iou,user_attrs_error,user_attrs_k_semantic_used,user_attrs_k_structural_used,user_attrs_max_clip_confidence,user_attrs_num_correct_segments,user_attrs_num_sam_masks,user_attrs_value
299,0.0,kmeans,root-norm,heuristic,blocks.11,layer3,0.007918537607722072,8,0.9798199543926184,0.9544431514177428,0.7487790489697631,2.5587871447334187,kmeans,root-norm,heuristic,False,True,False,0.6711273963815858,0.4788628056059244,0.40248847662968174,0.0792133773374499,0.5314339673842978,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
0,0.0,kmeans,l2,heuristic,blocks.7,layer1,0.007658127778298977,8,0.8768000208079056,0.9668185585485507,0.8916294541401604,2.116131449318574,graph,root-norm,silhouette,False,False,True,0.47476051122541624,0.43168048369742734,0.4313028983565078,0.3723715029696981,0.07402181780231698,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
1,0.0,kmeans,l2,heuristic,blocks.11,layer1,0.0059217044413298146,32,0.879605346275729,0.9001671358192144,0.7506273702173037,2.835904898282649,kmeans,root-norm,silhouette,False,True,True,0.7325326095187387,0.6002498297570699,0.8491614915540618,0.7539452606713295,0.6769668242874126,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
2,0.0,kmeans,root-norm,heuristic,blocks.11,layer1,0.005022788240987078,8,0.8704670875765878,0.9616491567210709,0.803234381733156,2.8978428323080467,graph,root-norm,heuristic,False,True,True,0.4384916768645996,0.49722434822704514,0.6119163498951785,0.24386803673234914,0.2904532452485231,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
3,0.0,graph,root-norm,heuristic,blocks.7,layer3,0.0027139746558052973,8,0.877554626948159,0.915592112090055,0.7140855874523364,1.5505913325170115,graph,root-norm,heuristic,False,True,False,0.6864742989286717,0.6547498774026529,0.12831215449008215,0.33337459591212837,0.5164516405993785,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
4,0.0,kmeans,root-norm,heuristic,blocks.11,layer2,0.0036986149999062665,32,0.8564846759286748,0.9769089622596199,0.7320129201184243,1.915622366430352,kmeans,l2,heuristic,False,True,False,0.7242537896731498,0.44156934555984506,0.3921313863322484,0.9245508692796119,0.7977722484187082,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
5,0.0,kmeans,root-norm,silhouette,blocks.7,layer3,0.007472375679936031,32,0.9363291080568733,0.9280608435624202,0.9680325688403164,2.797328571921359,kmeans,l2,heuristic,False,False,True,0.5394885787555622,0.7153630571992796,0.5905651850444268,0.006640365559523742,0.5705334919451955,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
6,0.0,graph,root-norm,heuristic,blocks.11,layer2,0.008763848333700273,16,0.9541229465003088,0.9267484225005391,0.7300659183758273,2.5044935246830375,kmeans,root-norm,silhouette,True,True,True,0.5938892616719932,0.4654355930032141,0.3705203318913818,0.7764493107952349,0.3429044135484307,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
7,0.0,kmeans,l2,heuristic,blocks.7,layer1,0.006854957455697321,16,0.9267717759123961,0.9457739609825911,0.7463845383914345,1.9476410511471447,graph,l2,silhouette,True,True,True,0.6777010422806748,0.44129858936558747,0.7351667895692481,0.1070999105274929,0.9787621088063403,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
8,0.0,graph,root-norm,heuristic,blocks.7,layer1,0.008657400023304618,16,0.9244946160553695,0.945481574511615,0.7867205489827708,2.983336907311189,kmeans,root-norm,silhouette,False,False,True,0.6062849672333521,0.6546774839185951,0.12174597014373834,0.042622252438372144,0.17810752673123098,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
